customer_id,Contact,Segment
55593844,129-925-2819,Gold
72556809,582-928-4938,Platinum
45653187,836-247-1264,Silver
48538925,378-563-3695,Gold
68724425,389-769-2197,Gold
50817031,728-483-4185,Gold
16836323,398-364-9741,Gold
72701589,745-968-1753,Silver
88126167,691-739-8963,Gold
50642114,925-298-5137,Gold
32180678,975-682-7836,Platinum
74155265,392-739-4873,Gold
26168099,325-687-3651,Silver
804961,487-723-4167,Gold
25823839,678-925-6195,Silver
61745840,612-684-5472,Platinum
86024944,742-298-4693,Silver
40080423,769-451-9372,Gold
14275512,362-839-2153,Platinum
70442756,174-415-5381,Platinum
36829984,713-967-1935,Platinum
68772500,562-259-5432,Silver
154557,962-879-1238,Platinum
97640137,812-824-4285,Platinum
49270602,837-734-6732,Platinum
25021031,537-548-5913,Platinum
2590748,185-517-6934,Platinum
98905793,823-482-5839,Platinum
39495715,572-615-8539,Gold
64840478,918-174-7461,Silver
30541131,857-137-2347,Silver
51503228,612-258-9783,Silver
57959733,689-628-5247,Platinum
82415154,578-942-1542,Platinum
67861420,645-657-5692,Platinum
16811546,486-341-4781,Gold
74840885,149-458-3751,Platinum
95719884,759-157-6329,Platinum
22856223,728-953-8257,Platinum
26965990,823-634-8723,Platinum
48447568,294-936-9134,Gold
16102401,148-543-1362,Silver
26448215,765-438-8462,Silver
40922910,246-527-5983,Gold
43293983,356-724-4721,Gold
51195864,831-136-3859,Gold
36395486,365-482-4683,Gold
32850276,893-673-8192,Platinum
94041088,815-641-3516,Silver
90718924,185-286-2134,Silver
51278451,597-396-2931,Gold
16868327,426-293-4958,Silver
32269248,574-857-9387,Gold
35410919,862-765-3425,Silver
20716946,526-579-6814,Platinum
90102508,794-134-3864,Gold
40744509,746-571-4539,Gold
51460517,925-214-7481,Gold
9677945,849-461-6419,Platinum
34297743,726-673-6513,Platinum
17682060,186-195-3465,Gold
29750601,652-976-9723,Platinum
97698815,352-765-2183,Gold
28920170,498-547-6829,Silver
55572419,728-934-9134,Gold
77219712,649-592-8793,Platinum
39286853,829-753-4352,Platinum
47226965,935-251-3941,Platinum
68757979,835-238-5426,Platinum
69956308,934-541-3417,Gold
47603757,214-247-6582,Platinum
83534717,732-632-3689,Silver
40480522,739-259-6835,Gold
86597605,794-584-3826,Gold
7829022,964-432-2841,Platinum
77985379,619-412-8295,Platinum
2826434,863-274-1853,Platinum
16548727,475-651-3249,Platinum
94267140,765-672-8396,Gold
5637733,567-617-1874,Platinum
684748,613-385-2863,Gold
65047878,593-329-6298,Silver
84614509,576-536-8742,Silver
93766634,871-813-4512,Gold
68712439,397-361-3286,Platinum
88785895,549-729-2915,Gold
33924586,187-187-9648,Silver
1852176,563-749-5436,Platinum
58107776,794-819-7165,Silver
30743608,541-523-1263,Gold
50530333,152-152-9356,Silver
29282358,291-953-5768,Gold
55375167,245-617-1348,Silver
37692329,195-175-4275,Platinum
2753882,739-738-7493,Platinum
88219691,298-359-2684,Silver
67722830,674-654-7168,Platinum
11321295,429-596-2169,Platinum
28502965,598-625-9431,Silver
51782731,728-916-1287,Silver
76395629,812-836-7854,Silver
20960664,276-719-1489,Platinum
79683883,194-892-7628,Gold
33388786,182-164-7386,Gold
52361935,925-931-3164,Silver
97038550,963-613-5369,Platinum
25911554,321-235-9236,Gold
43834942,281-286-8362,Gold
17242900,472-435-3847,Platinum
54094880,568-481-7418,Silver
59809467,231-893-6274,Silver
62204138,471-934-4961,Platinum
93993324,853-261-1783,Gold
84995304,347-765-3861,Silver
70955654,867-154-5847,Silver
43274276,829-634-2537,Silver
23236713,564-237-8963,Silver
76501371,341-346-8795,Silver
56554262,142-258-9876,Silver
48123202,932-672-6327,Gold
93915431,134-785-1687,Gold
38560100,586-724-1493,Platinum
31544049,672-351-1964,Silver
68615086,326-937-6952,Platinum
55535045,164-539-3948,Gold
17988592,472-186-4937,Platinum
4883962,478-721-9743,Platinum
33812279,621-297-6317,Platinum
81854173,743-429-8173,Gold
24579061,763-365-2837,Platinum
29478976,964-768-7924,Gold
10462042,351-316-3172,Platinum
52265112,251-361-5218,Gold
53900680,591-168-3457,Silver
69784779,521-358-6847,Platinum
26810768,387-791-4125,Platinum
82637319,647-375-9124,Platinum
69546065,641-659-5972,Platinum
67427492,693-794-2741,Silver
18213216,416-461-9145,Silver
98204394,685-823-5284,Silver
63413368,958-159-2173,Silver
91136854,943-194-1759,Silver
11187680,841-732-5392,Silver
88205075,631-658-1329,Platinum
40728123,298-863-2514,Platinum
65176092,651-379-2486,Silver
84229777,728-184-5376,Platinum
76093960,867-923-3798,Silver
36994344,673-618-4586,Silver
68043300,687-879-7692,Platinum
28901669,798-435-4862,Silver
86916099,386-156-9384,Gold
29826894,124-198-8153,Silver
79637467,736-694-8274,Gold
36632227,369-589-9865,Silver
77510822,436-934-7156,Silver
2651069,681-981-1478,Gold
8150738,842-127-7916,Platinum
67268108,159-192-1758,Platinum
53907868,768-578-9871,Platinum
86246733,248-471-2985,Gold
45568489,826-463-4186,Silver
28032985,926-817-6247,Gold
33210182,387-759-2586,Platinum
24731784,169-631-1283,Silver
36126424,398-768-5283,Platinum
95452498,391-537-8235,Silver
22756942,462-823-3126,Silver
62489316,985-185-1659,Gold
4825461,791-473-9763,Platinum
63915259,829-157-6239,Gold
6723724,592-368-3149,Platinum
51719336,149-149-3164,Platinum
89808931,524-613-4786,Silver
55105629,516-198-5127,Silver
79076502,259-527-3218,Silver
81131066,579-265-6183,Gold
75995055,845-854-5473,Gold
24425429,894-913-8453,Gold
51382348,594-728-3497,Silver
18842829,561-158-4657,Platinum
98180346,685-872-4789,Platinum
53013094,192-576-9158,Silver
25263633,536-497-6752,Silver
16444738,298-376-5293,Platinum
64231993,617-896-5736,Gold
89530919,938-684-9572,Gold
38011078,271-123-1475,Gold
76314493,389-764-4853,Silver
51975640,139-648-8714,Silver
47593642,596-684-9786,Gold
42439009,591-218-5973,Gold
51613894,675-213-7462,Silver
49078798,168-931-2841,Gold
17822772,428-196-6913,Platinum
94643289,317-612-1425,Silver
47535244,413-134-6842,Gold
70770204,935-274-6725,Silver
92171044,156-514-3516,Gold
98218159,563-417-5261,Platinum
24112592,916-185-5697,Platinum
97053819,243-295-1862,Gold
88484857,189-845-2459,Silver
89965541,359-678-4658,Silver
96431710,349-214-6872,Gold
13059025,624-716-1427,Platinum
49481916,734-137-4865,Silver
10956208,194-786-8173,Gold
43059280,651-127-8152,Platinum
92971195,892-173-4657,Gold
97578924,654-176-5324,Platinum
81790039,612-374-9851,Gold
36812323,237-257-3415,Silver
63544225,934-658-2318,Platinum
4669941,761-462-3458,Platinum
64395359,968-896-9268,Silver
25634799,724-781-3692,Platinum
31654316,683-351-1463,Gold
49499709,827-152-3125,Silver
45415342,915-398-4596,Platinum
72734097,392-741-5178,Gold
94707309,835-123-6381,Gold
84750181,419-431-6251,Platinum
58380749,672-491-4529,Silver
42345842,795-476-5347,Gold
54103924,794-849-1953,Gold
48099288,918-942-6527,Gold
57896241,678-356-9671,Silver
70730377,835-781-6495,Gold
6125426,317-978-1285,Silver
48227009,593-164-6714,Gold
86308184,613-849-3215,Platinum
69065193,963-496-4127,Silver
79846638,248-215-1346,Platinum
38047917,972-254-1352,Gold
73611258,246-752-9853,Gold
14696479,678-719-8217,Silver
25166037,537-268-6189,Gold
1123356,736-725-9481,Silver
97162684,874-957-9764,Silver
95055469,632-725-7146,Platinum
56985179,894-163-7685,Platinum
69039320,216-854-4563,Platinum
84514444,712-156-7298,Platinum
79953263,685-954-6532,Platinum
15557396,915-247-7815,Gold
95002919,128-196-6753,Platinum
7612094,145-734-4176,Gold
53260501,624-125-7382,Silver
92072156,186-419-2974,Silver
77570823,846-573-6251,Platinum
69010101,825-591-5293,Platinum
1223055,726-984-2871,Platinum
9884792,764-745-3951,Silver
1144598,571-397-1798,Platinum
59716520,348-546-2769,Silver
59056552,864-129-4829,Gold
25164999,261-583-6387,Silver
70761779,932-146-8539,Silver
62934102,518-352-6498,Silver
11472207,217-817-4251,Gold
97856694,639-694-8245,Gold
86818440,397-129-9435,Platinum
66433138,752-617-3867,Gold
87806611,276-785-5134,Silver
36252121,127-359-1385,Gold
19916012,417-426-7961,Silver
79440308,623-328-4615,Gold
23116437,625-325-1724,Silver
58957713,146-714-8675,Gold
4798021,516-315-9143,Platinum
83441797,489-528-1573,Silver
30154531,482-654-2465,Platinum
38117638,175-527-2541,Silver
12112711,795-234-3741,Platinum
4652602,128-371-7892,Gold
45187280,325-842-5629,Gold
77930023,967-682-2918,Silver
58934617,157-896-3619,Platinum
41182960,865-345-1634,Gold
64488618,967-894-1953,Silver
59793026,231-719-3629,Gold
86621072,194-254-6572,Platinum
47250458,157-132-6489,Platinum
35163792,371-423-2618,Platinum
93871952,582-426-1238,Platinum
32464636,862-247-1496,Gold
7583158,481-519-7921,Gold
80670612,549-586-9146,Gold
21840201,281-146-5627,Platinum
29130403,457-421-1976,Silver
89806715,157-529-5243,Silver
56016139,346-389-9324,Platinum
20028241,762-628-3261,Platinum
98341654,375-624-6749,Platinum
44643917,278-698-5972,Gold
76185878,463-812-2598,Gold
18665169,429-825-9486,Gold
17177153,951-927-8617,Platinum
84736739,948-947-1695,Gold
20110599,163-459-7846,Silver
15635627,417-531-1953,Silver
3374112,213-968-4851,Platinum
78415715,381-591-8265,Platinum
83080037,965-968-1539,Silver
74017955,582-859-4869,Gold
33372791,642-328-5489,Gold
48874104,638-891-6419,Silver
61822144,184-816-8412,Silver
95418320,324-817-2436,Silver
26450621,579-358-6391,Silver
64622520,624-571-5793,Gold
32521691,326-536-6253,Platinum
39444603,431-425-7815,Platinum
48960366,528-576-2918,Platinum
80701300,593-423-4839,Silver
13275896,659-459-7463,Platinum
62816998,941-923-5623,Silver
85700566,289-394-4517,Gold
81138909,163-876-9473,Silver
31115028,321-243-9564,Silver
59843845,657-637-9325,Platinum
75471235,942-659-6475,Gold
37365245,278-968-4875,Silver
30886292,179-142-9184,Silver
20094340,497-752-5396,Silver
40948894,239-839-2365,Gold
59903277,634-697-8673,Gold
4412055,576-276-4931,Gold
63302691,496-493-1743,Gold
69473158,962-461-7829,Gold
30943507,184-859-7185,Silver
88072232,932-518-9524,Gold
17859000,732-758-2761,Gold
44758258,789-241-7938,Silver
59389375,985-924-8693,Gold
56357617,479-834-2685,Gold
82034436,612-831-3179,Gold
85532819,452-524-8423,Silver
23741962,493-483-5418,Silver
96543848,341-659-5319,Gold
91135917,697-129-2549,Platinum
524545,798-862-5398,Gold
89479887,527-156-6825,Platinum
73495163,852-943-3847,Platinum
49889657,528-923-7546,Silver
96931053,958-657-4621,Gold
1300972,378-587-1687,Platinum
83887508,965-541-7429,Gold
53897607,975-825-8352,Gold
92392817,269-614-8632,Gold
75086914,123-389-3254,Platinum
27868943,951-875-3657,Platinum
42238302,764-365-5234,Platinum
83882449,361-389-8923,Platinum
53191091,592-942-4216,Silver
55836042,687-713-6528,Silver
19796899,725-873-8239,Gold
42014103,561-657-4953,Gold
66632396,247-859-1298,Silver
34778857,643-645-8493,Gold
28437868,398-185-7936,Platinum
85641672,512-318-6489,Platinum
86985239,194-354-9283,Gold
19409471,215-978-4689,Silver
98537509,342-312-9723,Gold
36871042,428-836-7356,Gold
62206180,914-173-2839,Silver
6448629,532-279-9851,Gold
30197131,518-765-8532,Gold
7988398,459-421-4897,Gold
13687085,137-146-7356,Platinum
30864915,231-692-9132,Gold
44665885,312-791-7619,Platinum
14604149,458-539-9346,Platinum
9600820,356-384-4378,Gold
54275114,913-256-4138,Gold
24065986,416-398-8934,Silver
52208972,563-624-6872,Silver
13435761,241-382-4182,Gold
64916376,723-957-1396,Platinum
35895151,158-152-8735,Platinum
8201624,761-527-7361,Platinum
55933927,143-139-8267,Gold
65899365,135-971-8567,Platinum
57025376,724-817-2586,Silver
92189083,935-642-8416,Gold
83836752,435-561-9674,Platinum
43806629,561-183-4857,Gold
7303971,691-856-6412,Silver
35189228,951-982-4276,Gold
47879133,918-957-1486,Gold
25550440,173-589-2678,Gold
38718253,423-385-8591,Gold
44632301,261-697-1863,Silver
46691405,849-637-4683,Gold
96395873,397-921-2875,Platinum
25582668,843-873-3714,Platinum
21969808,961-647-1945,Platinum
56525103,312-385-7329,Gold
59510159,421-734-8421,Gold
76666463,614-357-3216,Gold
10330113,124-294-1973,Platinum
85250389,827-367-5247,Platinum
17330419,625-981-8926,Silver
62935855,162-183-8139,Gold
27304494,214-139-4297,Gold
15820948,583-641-3184,Silver
25989608,498-475-7823,Gold
64214079,579-765-9642,Gold
58468142,684-172-1892,Gold
12108789,529-962-3471,Gold
25365364,362-491-4692,Platinum
76339681,843-529-3256,Platinum
97514724,641-684-7986,Platinum
14501963,978-631-4759,Gold
41673539,738-935-7236,Platinum
47730331,295-618-9248,Platinum
91180828,136-473-6752,Platinum
86237672,384-642-8162,Gold
47437882,819-543-1365,Platinum
87092211,128-398-1894,Silver
49820646,761-237-6184,Silver
77542013,652-914-5274,Platinum
40950455,679-963-5234,Gold
97115629,295-347-9854,Gold
30831279,516-973-5972,Silver
28866353,973-967-2815,Silver
23142036,628-758-6123,Gold
89986804,163-572-9136,Silver
44467682,571-162-2735,Gold
45812655,123-346-2854,Gold
49531152,857-681-7518,Platinum
5152503,126-721-7382,Silver
41093135,273-769-6917,Gold
61806100,927-618-7894,Platinum
81909700,392-153-3128,Platinum
7891758,596-842-1325,Platinum
95560169,597-124-3297,Platinum
48477566,641-298-6278,Platinum
38183238,596-319-8236,Gold
48335931,654-352-4582,Silver
74888099,125-613-7698,Platinum
9775143,921-936-1682,Silver
39959491,139-742-5417,Silver
69355027,354-352-3891,Silver
95639174,574-785-1593,Platinum
82028774,935-874-7328,Platinum
48673624,536-156-4179,Platinum
41009394,384-934-5241,Gold
42726730,925-473-6217,Gold
18062339,572-567-1943,Silver
6540281,196-527-8275,Silver
61582066,385-513-8153,Platinum
49058491,794-453-2839,Platinum
3124373,527-891-4692,Platinum
5345468,279-185-9127,Platinum
84147585,743-569-4783,Gold
85357756,915-698-3649,Platinum
53539195,914-342-8239,Gold
47153140,738-413-2418,Platinum
34369658,897-847-6547,Gold
14477985,496-361-3285,Silver
66521317,519-549-9375,Silver
9081086,254-273-2185,Silver
47237571,982-854-4365,Platinum
36009093,264-374-5794,Platinum
60016590,649-742-8132,Silver
96861647,495-732-2638,Silver
70659761,928-163-5178,Platinum
91010040,329-421-9842,Gold
69050904,561-736-4597,Gold
69128619,728-846-5942,Gold
76933532,892-468-9436,Platinum
25174766,298-139-6894,Platinum
38923726,182-927-4389,Gold
53225913,568-238-7849,Silver
83086717,948-634-1547,Gold
40460125,149-439-8456,Silver
88200222,234-625-7536,Silver
88878373,536-642-3159,Gold
97545319,749-261-7893,Silver
64610611,854-324-1974,Silver
24310699,857-617-2867,Platinum
42569977,532-438-5347,Silver
34803042,148-169-8712,Platinum
25512276,748-391-1549,Gold
9205013,239-368-6759,Platinum
29517588,783-978-8392,Silver
71462870,495-278-7638,Platinum
53886536,879-351-3681,Gold
89279737,912-289-1532,Platinum
5027573,948-589-4138,Gold
69204774,613-746-6123,Platinum
9466593,826-527-2935,Gold
30679789,571-543-7321,Silver
15000907,658-953-7692,Silver
96795364,548-374-3892,Silver
33152432,752-932-1462,Gold
42867092,596-249-8736,Silver
47145694,642-359-2349,Gold
72833735,893-531-9732,Silver
3771583,972-634-1294,Silver
8609975,142-326-1568,Platinum
29235935,281-869-9351,Platinum
35459428,642-462-7695,Silver
2917414,725-146-3826,Platinum
55982230,152-467-3764,Platinum
69872861,872-897-8156,Silver
44866465,738-518-3125,Silver
39554038,537-231-1768,Silver
14712345,527-732-1987,Silver
41660480,439-961-5261,Silver
53981675,839-731-7381,Platinum
287476,364-598-1549,Silver
58378868,367-512-2167,Gold
62960540,159-976-1642,Silver
36780334,253-864-1967,Silver
17814402,136-379-5432,Silver
4420512,316-643-2935,Silver
51485708,219-562-9756,Gold
71496799,843-251-7481,Platinum
85983291,715-829-4859,Gold
29500814,476-851-9768,Platinum
74351384,372-572-7263,Silver
72363224,271-324-8534,Silver
41106063,284-876-9462,Gold
57043846,756-197-4972,Silver
31740446,163-473-1482,Gold
17690710,693-739-2369,Silver
50771198,361-249-7392,Silver
23460895,567-179-5829,Platinum
33628817,243-497-9317,Silver
32791401,421-738-4967,Platinum
86491727,294-187-3286,Gold
99674324,517-562-4916,Silver
81371138,198-641-6743,Gold
30199988,321-296-9823,Platinum
20299691,375-958-4571,Platinum
40591588,652-837-5837,Silver
28871739,132-423-5694,Platinum
46995469,592-471-5829,Platinum
8774687,813-179-4628,Silver
42083451,689-375-9463,Platinum
50560987,927-641-9614,Platinum
88881248,389-128-5432,Gold
30060683,549-267-4197,Gold
28999720,534-219-7419,Platinum
40971431,519-935-1384,Platinum
46866733,453-351-9582,Gold
6563653,257-579-6281,Platinum
9959859,265-456-8296,Gold
71404791,154-695-4765,Gold
73491590,196-126-1725,Gold
11429044,972-651-4751,Silver
45634936,173-527-4698,Platinum
71108576,783-148-8715,Silver
9017128,951-573-4932,Silver
72587271,372-592-3274,Silver
12673582,869-941-8925,Gold
44821508,651-851-4785,Platinum
85683729,416-182-5128,Silver
90115894,327-875-8379,Platinum
45566276,362-764-1857,Platinum
12827745,845-491-5421,Silver
28590552,189-813-7561,Silver
15965441,327-934-6843,Silver
12779308,415-968-7496,Platinum
53719176,174-342-7516,Silver
51842360,147-475-9412,Platinum
56398264,713-394-6524,Silver
73898057,418-459-4571,Platinum
2476913,591-934-6948,Gold
66267050,716-145-5671,Gold
46551094,564-598-2173,Platinum
5061178,532-216-1635,Silver
29323970,783-653-9163,Gold
67243622,715-435-9327,Gold
62861487,851-758-3157,Gold
98083433,912-418-8739,Gold
15681024,216-539-3569,Silver
92644503,845-829-8214,Gold
65916260,687-698-6425,Platinum
34953203,728-597-3415,Platinum
99961993,234-943-2876,Platinum
42098367,278-485-6849,Gold
9130038,382-247-4267,Silver
80562391,521-689-3269,Gold
28932340,652-265-8231,Gold
79212942,371-639-4189,Platinum
5864769,314-953-3162,Gold
3955265,324-296-9625,Platinum
42882285,149-928-6451,Platinum
96134505,832-482-4236,Silver
8375366,875-392-9487,Gold
82000019,785-894-3194,Silver
30394029,742-324-8253,Gold
51525336,485-435-7918,Silver
54963034,937-293-7985,Platinum
90876878,897-689-5672,Silver
16216085,719-273-4738,Platinum
11982382,439-628-2835,Gold
33290806,938-486-2376,Gold
39628347,591-895-6541,Platinum
84277947,364-165-1298,Silver
95856464,354-648-3765,Gold
67335009,732-284-9752,Platinum
8765210,893-183-3164,Gold
77765211,754-754-6471,Silver
39035416,785-836-9316,Platinum
5264479,738-216-9185,Gold
24769711,159-574-8794,Silver
98142348,416-278-7936,Platinum
22328083,384-486-4537,Silver
85984961,948-162-6123,Silver
46937376,784-895-3481,Gold
54252815,625-425-9124,Gold
17774827,239-143-5279,Gold
80544918,739-748-9768,Platinum
18818283,179-136-6493,Platinum
22370979,768-829-7481,Silver
88623068,532-674-5268,Silver
89044601,613-467-9145,Gold
73876237,879-185-4857,Silver
47585713,627-861-9247,Platinum
16981057,685-645-1276,Gold
32301882,124-437-6728,Silver
16717085,172-426-6187,Gold
75192560,784-943-8563,Platinum
24715429,689-678-8591,Platinum
2121802,827-714-7821,Silver
30966524,847-169-5361,Gold
63238733,268-398-8256,Gold
39608351,142-758-5874,Gold
16453494,786-768-5678,Silver
92789350,486-257-6798,Silver
83706741,368-385-8726,Silver
92400577,625-823-4875,Silver
90646435,356-975-8315,Gold
56229221,436-376-2349,Silver
63788489,549-471-1638,Platinum
49187749,748-417-3164,Gold
58144290,893-725-3847,Gold
21330507,871-328-3185,Platinum
21066098,356-637-2735,Platinum
46673661,123-942-4267,Platinum
48477164,572-493-8516,Silver
42351519,237-467-4729,Gold
25879245,154-126-4286,Gold
86301193,951-543-3542,Platinum
12996134,925-723-2589,Platinum
44003496,156-853-4153,Gold
89737711,641-148-4597,Platinum
32560779,715-238-2678,Gold
8039037,714-274-5137,Gold
68723599,264-348-3762,Silver
46129941,943-157-4137,Silver
58098499,756-876-1238,Silver
12377926,735-517-7849,Silver
20444103,354-473-1357,Gold
89456307,135-341-8196,Platinum
15166995,129-568-9713,Gold
38384757,259-327-3729,Platinum
74219574,579-316-6573,Silver
3967610,947-413-6812,Platinum
441097,187-348-8375,Gold
86992868,826-714-7823,Silver
78277006,146-531-2189,Platinum
83499843,276-859-1849,Silver
71585789,156-568-1835,Platinum
6342530,852-547-4379,Silver
72081129,124-584-4261,Gold
2413612,354-589-7983,Gold
263204,173-892-6314,Silver
8733543,413-394-4173,Gold
14792193,587-954-9637,Gold
80581271,179-763-7395,Platinum
18426154,879-485-1945,Gold
85689455,285-326-1834,Gold
64270813,643-297-4563,Silver
51547112,572-697-6125,Silver
48609526,493-794-4563,Platinum
49759488,173-198-2416,Silver
56075921,148-396-5961,Platinum
76916649,854-921-6417,Silver
47565478,786-685-8236,Silver
18282409,326-215-7361,Gold
8715802,573-719-2548,Silver
42708350,472-942-8126,Silver
39405635,216-347-2435,Gold
48038858,374-852-9148,Silver
15880215,349-735-4516,Platinum
13088377,794-928-4196,Platinum
88870543,591-659-9652,Platinum
9339845,976-293-9743,Gold
13926634,653-896-2719,Platinum
18307355,879-542-1978,Platinum
50436220,748-715-9783,Gold
66353946,512-457-6923,Gold
39881716,764-685-8523,Silver
28239393,569-268-4785,Platinum
5237129,392-746-4561,Platinum
19521118,967-765-9625,Silver
14892213,413-256-8476,Gold
53442249,971-473-5832,Silver
45971331,936-389-8497,Platinum
79889146,193-219-1842,Silver
21774335,127-839-1746,Gold
66284489,967-136-5829,Gold
72488905,275-826-8236,Platinum
93910149,574-165-9841,Silver
77116501,915-934-5617,Platinum
95822358,851-432-1692,Silver
54699348,321-312-5267,Silver
96496046,965-645-9821,Platinum
73869005,695-428-9762,Gold
83827717,578-732-1238,Platinum
55401227,143-594-1839,Gold
80295008,542-369-9823,Platinum
28820055,612-458-8546,Gold
93455439,423-423-9561,Gold
19478893,981-142-3251,Gold
45419022,127-875-1924,Gold
49583926,853-612-6958,Gold
72296323,287-152-8153,Platinum
10149231,291-942-3485,Platinum
93009704,264-681-4759,Platinum
60987956,531-564-3296,Platinum
68709394,461-259-2635,Silver
27878628,538-689-6358,Platinum
90085898,789-783-8149,Platinum
56098966,456-658-1623,Gold
69317965,265-749-8245,Platinum
81968615,397-495-7834,Gold
83223514,528-138-3187,Gold
78341228,475-573-2957,Gold
41462913,825-927-2861,Gold
80905889,398-297-3568,Gold
93822307,534-856-2654,Platinum
4889449,574-832-2793,Platinum
98199694,562-319-1874,Platinum
50460892,657-645-1346,Gold
42664554,396-973-2531,Gold
94943525,612-362-1354,Gold
45434540,942-916-1537,Silver
88544496,872-963-2459,Gold
36544565,973-438-4792,Platinum
90234480,517-291-4237,Platinum
